Marca temporal,¿Cuál es tu género?,¿Cuál es tu edad?,¿Compraste online alguna vez?,"En una escala del 1 al 10, siendo 1 casi nunca o nulo y 10 mucho, ¿Con que frecuencia realizas una compra online?",¿Cuál de estas opciones elegís a la hora de comprar?,"Si soles comprar frecuentemente, ¿Cuál es la principal razón?","Si no soles comprar frecuentemente, ¿Cuál es la principal razón?","En una escala del 1 al 10, siendo 1 una experiencia negativa y 10 positiva, ¿Qué tan fácil y práctico te resulta este método de consumo? ",¿A través de que página o plataforma realizas la compra?,¿Qué tipo de producto consumís más online?,En caso de que compres online ¿En qué año compraste más?
30/5/2022 14:13:42,Varón,18 - 25,Sí,3,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,8,"Mercado libre, Instagram, Sitio web propio","Alimentos, Juegos y juguetes, Tecnología",En el 2020
30/5/2022 14:13:43,Varón,18 - 25,Sí,8,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,7,"Mercado libre, Sitio web propio","Alimentos, Productos para la actividad física",En el 2020
30/5/2022 14:13:44,Varón,17 o menos,Sí,8,"Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,Verificar la calidad,10,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Electrodomésticos, Tecnología",En el 2020
30/5/2022 14:15:33,Varón,17 o menos,Sí,6,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Verificar la calidad,8,Mercado libre,"Productos para el hogar, Electrodomésticos, Accesorios, Tecnología",En el 2020
30/5/2022 14:16:32,,17 o menos,Sí,8,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,9,"Mercado libre, aguante alanfu","Calzado, Productos para el hogar, Accesorios, Tecnología",En el 2020
30/5/2022 14:21:10,,17 o menos,Sí,6,"Empresas, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,8,"WhatsApp, Mercado libre, Instagram","Ropa, Alimentos, Calzado",En el 2020
30/5/2022 14:27:11,No binario,18 - 25,Sí,5,"Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,Verificar la calidad,8,"WhatsApp, Mercado libre, Instagram","Juegos y juguetes, Tecnología",Entre el 2021 - 2022
30/5/2022 14:48:49,No binario,17 o menos,No,10,,Posibilidad de hacerlo en cualquier momento y lugar,Prefiero acercarme al comercio y contar con la opinión de un vendedor,8,Marketplace,Calzado,Antes del 2010
30/5/2022 14:55:16,Mujer,18 - 25,Sí,4,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,4,Sitio web propio,"Ropa, Accesorios, Cosméticos y productos de farmacia",En el 2020
30/5/2022 14:57:00,Varón,18 - 25,Sí,7,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Verificar la calidad,7,"Mercado libre, Instagram, Sitio web propio","Ropa, Electrodomésticos, Tecnología",Entre el 2021 - 2022
30/5/2022 14:57:57,Varón,18 - 25,Sí,8,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,6,"Mercado libre, Instagram","Ropa, Calzado, Accesorios",En el 2020
30/5/2022 15:32:50,Mujer,18 - 25,Sí,4,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos)",Comodidad,Verificar la calidad,6,"WhatsApp, Instagram, Sitio web propio","Ropa, Alimentos, Productos para el hogar, Accesorios",Entre el 2021 - 2022
30/5/2022 15:35:30,Mujer,18 - 25,Sí,4,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,"No soy de comprarme cosas en general, pero cuando lo hago varias veces es online ",8,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Accesorios, Cosméticos y productos de farmacia",Entre el 2021 - 2022
